india,china,pakistan
140,62,33
141,62,33
142,62,33
143,62,33
143,62,33
144,62,33
144,62,33
144,62,33
144,62,33
145,62,33
145,62,33
145,62,33
145,62,33
145,62,34
145,62,34
145,62,34
145,62,34
145,63,34
145,63,34
145,63,34
145,63,34
146,63,34
146,63,34
146,64,34
146,64,34
146,64,34
146,64,34
146,64,34
146,64,34
146,64,34
146,64,34
146,64,34
146,64,34
146,65,34
146,65,34
146,65,34
146,65,34
146,66,34
146,66,34
147,66,34
147,66,34
147,66,34
147,66,34
147,67,34
148,67,34
148,67,34
149,67,34
149,67,34
149,67,34
149,67,34
149,67,34
149,68,34
149,68,34
149,69,34
150,69,34
150,69,34
151,69,34
151,70,34
151,70,34
152,70,34
153,70,34
154,70,34
154,71,34
154,71,34
154,71,34
154,71,35
154,71,35
154,71,35
154,71,35
155,71,35
155,71,35
155,72,35
155,72,35
155,72,35
155,72,35
155,72,35
156,72,35
156,72,35
157,72,35
157,72,35
157,72,35
158,72,35
158,72,35
158,72,35
159,72,35
159,72,36
160,72,36
161,72,36
161,73,36
161,73,36
161,74,36
161,74,36
161,74,37
161,74,37
161,74,37
161,75,37
161,75,37
161,75,37
161,75,37
161,75,38
161,75,38
161,75,38
161,75,38
161,75,38
161,75,39
162,75,39
162,75,39
163,75,39
163,75,39
164,75,39
164,75,39
164,75,39
164,76,39
164,76,39
164,76,39
164,76,39
164,76,39
165,76,39
165,76,39
165,76,39
165,76,39
165,76,40
165,76,40
165,76,40
165,76,40
165,76,40
165,76,40
166,76,40
166,76,40
166,76,40
166,76,40
166,76,40
166,76,40
167,76,40
168,76,40
168,76,40
168,76,40
169,76,40
169,77,40
169,77,40
170,77,40
170,77,40
170,77,40
170,78,40
170,79,40
170,79,40
170,79,40
170,79,40
171,79,40
171,79,40
171,79,40
171,79,40
172,79,40
172,80,40
172,80,40
172,80,40
172,81,40
172,81,40
172,81,40
172,81,41
173,81,41
173,81,41
173,81,41
173,82,41
173,82,41
173,82,41
173,82,41
173,83,41
173,83,41
173,83,42
173,83,42
173,83,42
173,84,42
173,85,42
173,86,42
173,87,42
173,87,42
173,87,42
173,88,42
173,88,42
173,89,42
173,90,42
173,91,42
173,92,42
173,92,42
173,92,42
173,93,42
173,93,42
173,93,42
173,93,42
173,93,42
173,93,43
173,93,43
174,93,43
174,93,43
174,93,43
174,93,44
174,93,44
174,93,45
174,93,45
174,93,45
174,93,45
174,93,45
174,93,45
174,93,45
174,93,46
174,93,46
174,93,46
174,93,46
174,93,46
174,93,46
175,93,46
175,93,46
175,93,46
175,93,46
175,94,46
175,94,46
176,94,46
176,94,46
177,94,46
177,94,46
177,94,46
177,94,46
178,94,46
178,94,46
179,94,46
180,94,46
181,94,46
182,94,46
183,94,46
183,94,46
184,94,46
185,94,46
185,94,46
185,94,46
185,94,46
185,94,46
186,94,46
187,94,46
187,94,46
187,94,46
187,94,46
187,95,46
187,95,46
187,95,46
187,95,46
187,95,46
188,95,46
188,96,46
189,96,46
190,96,46
190,96,46
190,96,46
190,96,46
190,96,46
190,96,46
190,96,46
191,96,46
192,96,46
192,97,46
192,97,47
193,97,47
193,97,47
193,97,48
193,98,48
193,98,48
193,99,48
193,99,48
193,99,48
193,99,48
193,99,48
193,99,48
193,99,48
194,99,48
194,99,48
194,99,48
195,99,48
195,99,48
195,99,48
195,99,48
195,99,48
195,99,48
196,99,48
197,99,48
197,99,48
197,99,49
197,99,49
197,100,49
197,100,49
197,100,49
197,100,49
198,100,49
199,100,49
199,100,49
199,100,49
200,100,49
200,100,49
200,100,49
200,101,49
201,101,49
202,101,49
202,101,49
202,101,49
202,101,49
202,101,49
202,102,49
202,102,49
202,102,49
203,102,49
203,103,49
203,103,49
203,103,49
203,103,49
203,104,49
204,104,49
205,104,49
205,104,49
205,105,49
206,105,49
206,106,49
207,106,49
208,106,49
209,106,49
209,106,50
209,106,50
209,106,50
210,106,50
210,106,50
210,106,50
211,106,50
212,106,50
212,106,50
212,106,50
212,106,50
212,106,50
212,106,50
213,106,50
213,107,50
214,107,50
214,107,50
214,107,50
214,107,50
214,107,50
215,107,50
216,107,50
217,107,50
217,107,50
218,107,50
219,107,50
219,107,50
219,107,50
219,108,50
219,108,50
219,108,50
219,108,50
220,108,50
220,109,50
220,109,51
221,109,51
222,109,51
222,109,51
222,110,51
222,111,51
222,111,51
222,111,51
222,111,51
222,111,51
222,111,51
222,111,51
222,111,51
222,111,51
222,111,51
223,111,51
223,111,51
223,112,51
223,112,51
223,112,51
224,112,51
224,112,51
225,112,51
225,112,51
225,112,51
225,112,51
226,112,51
226,112,51
226,112,51
226,112,51
226,112,51
226,113,51
226,113,51
227,113,51
227,114,51
228,114,51
228,114,51
228,114,51
228,115,51
229,115,51
229,115,51
229,115,51
229,116,51
229,116,51
230,116,51
230,116,52
230,117,52
230,117,52
230,117,52
230,117,53
230,117,53
230,117,53
230,117,53
230,117,53
230,117,54
230,118,54
230,118,54
230,118,54
230,118,54
231,118,54
231,118,54
232,118,54
232,119,54
232,120,54
232,120,54
232,120,54
232,121,54
232,121,55
232,121,56
232,121,56
232,121,56
232,121,56
232,121,56
232,121,56
232,121,57
233,121,57
233,121,57
233,121,57
233,122,57
233,122,57
233,122,58
233,122,58
233,122,58
233,122,58
233,122,59
233,122,60
234,122,60
234,122,60
235,122,60
235,122,60
236,122,60
236,123,60
236,123,60
236,123,60
236,123,60
236,123,60
236,123,60
237,123,60
237,123,60
238,123,60
239,123,60
239,123,61
240,123,61
240,123,61
240,123,61
240,123,61
240,123,61
240,123,61
240,123,61
240,123,61
240,123,62
240,123,62
240,124,62
240,124,62
240,124,63
241,124,63
241,124,63
241,125,63
241,125,63
242,125,63
243,125,63
243,125,63
243,125,63
243,125,63
243,125,63
244,125,63
244,125,63
244,125,63
244,125,63
244,126,63
244,126,63
244,126,63
244,126,63
244,126,63
244,126,63
244,126,63
245,126,63
245,126,63
245,126,63
245,126,63
245,126,63
245,126,63
246,126,63
246,127,63
246,128,63
246,128,63
247,128,63
247,129,63
248,129,63
248,130,63
248,130,63
249,130,63
250,130,63
250,130,64
251,130,64
251,130,64
252,130,64
252,130,64
253,130,64
253,130,64
253,130,64
254,130,64
255,130,64
255,130,64
255,130,64
256,130,64
256,130,64
256,130,64
256,130,64
256,130,64
256,130,64
256,131,64
256,131,64
256,131,64
256,131,64
256,131,64
256,131,65
256,131,65
256,131,65
256,132,65
257,132,65
257,132,65
257,132,65
258,132,65
259,132,65
259,132,65
259,132,65
259,133,65
259,133,66
259,134,66
260,134,66
261,134,66
262,134,66
262,134,66
263,134,66
263,134,66
263,134,66
263,134,66
263,134,66
264,134,66
264,134,66
264,134,66
264,134,66
264,134,66
264,135,66
264,135,66
264,135,66
264,135,66
264,135,66
264,135,66
265,135,66
266,135,66
266,135,66
266,135,66
266,135,66
266,135,66
266,135,67
266,135,67
267,135,67
267,135,67
267,136,67
267,136,67
268,136,67
268,137,67
268,138,67
268,138,67
269,138,67
270,138,67
270,138,67
270,138,67
271,138,67
271,138,67
271,138,67
271,138,67
272,138,67
272,138,67
272,138,68
273,138,68
273,139,68
273,139,68
273,140,68
273,140,69
273,140,69
273,140,69
273,140,69
273,140,69
274,140,69
274,140,69
274,140,69
274,140,69
274,140,69
274,140,69
274,140,69
274,140,70
274,141,70
274,142,70
274,142,70
274,143,70
274,144,70
274,144,70
274,144,70
275,144,70
275,144,70
275,144,70
275,144,70
275,144,70
275,144,71
275,144,71
275,144,71
276,144,71
276,144,71
276,144,71
276,144,71
276,144,71
277,144,71
277,144,71
277,144,71
278,144,71
279,144,71
279,145,71
279,145,71
279,146,71
279,146,71
279,146,71
279,147,71
279,148,71
279,148,71
279,148,71
280,148,71
280,148,71
280,149,71
280,150,71
280,150,71
280,151,71
280,151,71
281,151,71
281,151,71
281,151,71
282,151,71
283,151,71
283,151,71
284,151,71
285,151,71
285,151,71
286,151,71
286,151,71
286,152,71
286,152,71
286,152,71
286,153,71
287,153,71
288,153,71
288,153,72
289,153,72
289,153,72
289,153,72
289,153,72
289,153,72
289,153,72
289,153,72
289,153,72
290,153,72
290,153,72
290,154,72
290,154,73
290,154,73
290,154,73
290,154,73
291,154,73
291,154,73
291,154,73
291,155,73
291,155,73
291,156,73
292,156,73
293,156,73
294,156,73
294,156,73
294,156,73
295,156,73
295,156,73
296,156,73
296,156,73
296,156,73
296,157,73
296,158,73
296,158,73
296,158,73
296,158,73
296,159,73
296,159,73
296,159,74
296,159,74
296,159,74
296,159,74
296,159,75
296,159,75
296,160,75
297,160,75
297,160,75
297,160,75
298,160,75
299,160,75
299,160,75
299,160,75
299,160,75
299,160,75
299,160,75
299,160,75
299,160,75
299,161,75
299,161,75
299,161,75
299,161,75
299,161,75
299,161,75
300,161,75
301,161,75
301,161,75
301,161,75
301,161,75
301,162,75
301,162,75
302,162,75
302,162,75
302,163,75
302,163,75
302,163,75
303,163,75
303,163,76
304,163,76
304,163,76
304,163,76
305,163,76
305,163,76
305,163,76
305,163,76
305,163,76
305,163,76
305,163,76
306,163,76
306,163,76
306,164,76
306,164,77
306,164,78
307,164,78
307,165,78
308,165,78
309,165,78
309,165,78
310,165,78
310,165,78
311,165,78
311,165,78
311,165,79
311,166,79
311,166,79
311,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,79
312,166,80
312,166,80
312,166,80
312,166,80
313,166,80
314,166,80
314,166,80
314,167,80
314,167,80
314,167,80
314,167,80
314,167,80
314,167,80
314,167,80
315,167,80
315,167,80
315,167,80
315,167,80
315,168,80
315,168,80
315,168,81
315,168,81
315,168,81
315,168,81
316,168,81
316,168,81
316,169,81
316,169,81
317,169,81
317,169,81
318,169,81
318,169,81
318,169,81
318,170,81
318,170,81
318,170,81
318,170,81
319,170,81
319,170,81
319,170,81
319,170,81
319,171,81
320,171,81
320,171,81
320,171,81
320,171,81
320,171,81
321,171,81
321,171,81
321,171,81
321,171,81
321,171,81
321,171,81
321,171,81
322,171,81
322,171,81
322,171,81
322,172,81
322,172,81
322,172,81
322,172,82
322,173,82
322,173,82
323,173,82
324,173,82
324,173,83
324,173,83
324,173,83
324,174,83
324,174,83
324,174,83
324,174,83
324,174,83
325,174,83
326,174,83
327,174,83
328,174,83
329,174,83
330,174,83
330,174,83
331,174,83
331,174,83
332,174,83
333,174,83
334,174,83
334,174,83
334,174,83
335,174,83
335,174,83
335,174,83
335,175,83
335,175,83
335,175,83
335,175,83
335,175,83
335,175,83
335,176,83
336,176,83
336,176,83
336,176,83
336,177,83
337,177,83
337,177,83
337,177,83
337,177,83
337,178,83
337,178,83
338,178,83
338,178,83
339,178,83
339,178,84
340,178,84
340,178,84
340,179,84
340,180,84
340,180,84
